Siteid	Area		Description			Lat		Long		Elev (ft)	Description										
628002	Kalispell	Flathead River			48.21907646	-114.2379324	2851		Flathead River MT 35 MP49										
628003	Kalispell	Yaak Hill			48.58339724	-115.9840606	2201		Yaak Hill US2 MP 4.8 Elev 2201										
628004	Kalispell	Crystal Creek			48.11760012	-115.4200364	3030		Crystal Creek US2 MP 53.1										
628005	Kalispell	Swan Lake South			47.59102693	-113.7557434	3567		Swan Lake South MT83 MP 47										
629000	Havre		Inverness			48.55321455	-110.6482198	3300		Inverness US2 MP 337.6										
629001	Havre		Sweetgrass			48.96016563	-111.9407131	3690		Sweet Grass I-15 MP 397.3										
629002	Havre		Two Medicine Bridge		48.45265138	-113.1950716	4920		Two Medicine Bridge US2 MP 210.7										
629003	Havre		Loma				47.95102703	-110.5047682	2557		Loma US87 MP 53.1										
629004	Havre		Sunburst			48.88015	-111.89871	3401		Sunburst I-15 MP 389										
629005	Havre		Browning			48.5345		-112.9808	4419		Browning US2/US89 MP 223.1	
